status_id,status,description,date_of_change,loan_agreement_id
172,overdue,Payment overdue,2018-06-01,172
173,closed,Loan successfully repaid,2021-12-18,173
174,closed,Loan successfully repaid,2020-03-04,174
175,closed,Loan successfully repaid,2022-02-08,175
176,overdue,Payment overdue,2018-08-15,176
177,active,Loan in good standing,2023-11-14,177
178,overdue,Payment overdue,2019-06-19,178
179,overdue,Payment overdue,2023-07-22,179
180,overdue,Payment overdue,2022-08-31,180
181,active,Loan in good standing,2023-11-26,181
182,active,Loan in good standing,2023-06-18,182
183,closed,Loan successfully repaid,2023-01-10,183
184,overdue,Payment overdue,2018-12-09,184
185,overdue,Payment overdue,2021-03-23,185
186,closed,Loan successfully repaid,2022-02-10,186
187,active,Loan in good standing,2023-11-15,187
188,closed,Loan successfully repaid,2021-10-25,188
189,closed,Loan successfully repaid,2022-06-12,189
190,active,Loan in good standing,2023-11-26,190
191,closed,Loan successfully repaid,2018-12-04,191
192,closed,Loan successfully repaid,2019-04-25,192
193,active,Loan in good standing,2023-11-26,193
194,active,Loan in good standing,2023-11-26,194
195,overdue,Payment overdue,2020-10-21,195
196,active,Loan in good standing,2022-09-16,196
197,overdue,Payment overdue,2023-10-07,197
198,closed,Loan successfully repaid,2019-09-16,198
199,closed,Loan successfully repaid,2017-01-17,199
200,overdue,Payment overdue,2022-11-20,200
201,active,Loan in good standing,2021-10-17,201
202,closed,Loan successfully repaid,2018-07-20,202
203,closed,Loan successfully repaid,2019-03-21,203
204,overdue,Payment overdue,2019-08-02,204
205,active,Loan in good standing,2018-04-12,205
206,active,Loan in good standing,2023-11-26,206
207,active,Loan in good standing,2023-01-13,207
208,closed,Loan successfully repaid,2021-03-15,208
209,active,Loan in good standing,2023-08-05,209
210,closed,Loan successfully repaid,2023-02-15,210
211,closed,Loan successfully repaid,2022-04-16,211
212,closed,Loan successfully repaid,2020-02-24,212
213,overdue,Payment overdue,2019-09-22,213
214,overdue,Payment overdue,2020-07-30,214
215,overdue,Payment overdue,2022-08-14,215
216,active,Loan in good standing,2023-10-15,216
217,active,Loan in good standing,2020-02-28,217
218,overdue,Payment overdue,2023-11-25,218
219,closed,Loan successfully repaid,2023-06-26,219
220,closed,Loan successfully repaid,2020-10-02,220
221,overdue,Payment overdue,2023-11-18,221
222,active,Loan in good standing,2023-11-26,222
223,active,Loan in good standing,2023-11-26,223
224,overdue,Payment overdue,2023-01-18,224
225,closed,Loan successfully repaid,2020-11-02,225
226,overdue,Payment overdue,2022-01-14,226
227,overdue,Payment overdue,2022-08-06,227
228,overdue,Payment overdue,2021-05-06,228
229,active,Loan in good standing,2023-11-26,229
230,closed,Loan successfully repaid,2019-06-15,230
231,closed,Loan successfully repaid,2017-10-13,231
232,active,Loan in good standing,2023-11-26,232
233,overdue,Payment overdue,2020-09-16,233
234,overdue,Payment overdue,2017-07-06,234
235,closed,Loan successfully repaid,2018-08-24,235
236,closed,Loan successfully repaid,2019-10-19,236
237,active,Loan in good standing,2023-11-26,237
238,overdue,Payment overdue,2023-05-20,238
239,active,Loan in good standing,2022-11-01,239
240,active,Loan in good standing,2020-09-14,240
241,active,Loan in good standing,2023-04-23,241
242,overdue,Payment overdue,2022-12-22,242
243,overdue,Payment overdue,2023-10-26,243
244,active,Loan in good standing,2023-11-26,244
245,overdue,Payment overdue,2022-11-28,245
246,overdue,Payment overdue,2020-12-15,246
247,active,Loan in good standing,2023-11-26,247
248,overdue,Payment overdue,2021-06-30,248
249,overdue,Payment overdue,2021-04-16,249
250,closed,Loan successfully repaid,2020-09-06,250
251,overdue,Payment overdue,2021-06-12,251
252,overdue,Payment overdue,2023-09-08,252
253,overdue,Payment overdue,2016-12-31,253
254,active,Loan in good standing,2021-06-27,254
255,overdue,Payment overdue,2016-12-20,255
256,closed,Loan successfully repaid,2019-11-22,256
257,overdue,Payment overdue,2023-01-24,257
258,closed,Loan successfully repaid,2019-05-04,258
259,active,Loan in good standing,2023-11-06,259
260,closed,Loan successfully repaid,2019-01-27,260
261,overdue,Payment overdue,2019-10-25,261
262,closed,Loan successfully repaid,2019-02-18,262
263,closed,Loan successfully repaid,2023-02-18,263
264,closed,Loan successfully repaid,2021-03-02,264
265,closed,Loan successfully repaid,2019-06-05,265
266,active,Loan in good standing,2023-11-26,266
267,active,Loan in good standing,2021-10-06,267
268,active,Loan in good standing,2023-11-26,268
269,overdue,Payment overdue,2023-11-26,269
270,overdue,Payment overdue,2019-12-02,270
271,overdue,Payment overdue,2023-03-31,271
272,active,Loan in good standing,2019-03-13,272
273,active,Loan in good standing,2022-02-12,273
274,active,Loan in good standing,2020-11-03,274
275,overdue,Payment overdue,2023-02-05,275
276,active,Loan in good standing,2023-11-26,276
277,overdue,Payment overdue,2022-10-20,277
278,active,Loan in good standing,2022-12-01,278
279,closed,Loan successfully repaid,2021-10-30,279
280,closed,Loan successfully repaid,2018-06-17,280
281,overdue,Payment overdue,2020-04-22,281
282,active,Loan in good standing,2023-06-06,282
283,overdue,Payment overdue,2023-11-26,283
284,active,Loan in good standing,2023-11-21,284
285,active,Loan in good standing,2023-11-26,285
286,overdue,Payment overdue,2023-05-05,286
287,active,Loan in good standing,2022-02-05,287
288,overdue,Payment overdue,2023-02-24,288
289,closed,Loan successfully repaid,2017-02-14,289
290,active,Loan in good standing,2022-11-25,290
291,closed,Loan successfully repaid,2018-04-16,291
292,overdue,Payment overdue,2020-01-08,292
293,active,Loan in good standing,2023-10-20,293
294,closed,Loan successfully repaid,2023-01-20,294
295,overdue,Payment overdue,2018-04-27,295
296,closed,Loan successfully repaid,2023-01-26,296
297,closed,Loan successfully repaid,2023-05-11,297
298,overdue,Payment overdue,2022-04-13,298
299,overdue,Payment overdue,2022-03-18,299
300,overdue,Payment overdue,2019-09-10,300
301,active,Loan in good standing,2023-04-24,301
302,active,Loan in good standing,2023-11-26,302
303,active,Loan in good standing,2023-10-18,303
304,closed,Loan successfully repaid,2023-01-22,304
305,active,Loan in good standing,2023-10-13,305
306,overdue,Payment overdue,2019-12-26,306
307,active,Loan in good standing,2021-12-17,307
308,overdue,Payment overdue,2020-11-25,308
309,overdue,Payment overdue,2019-09-26,309
310,closed,Loan successfully repaid,2023-06-29,310
311,active,Loan in good standing,2023-01-06,311
312,active,Loan in good standing,2023-02-23,312
313,active,Loan in good standing,2020-11-19,313
314,overdue,Payment overdue,2020-02-04,314
315,overdue,Payment overdue,2016-12-05,315
316,closed,Loan successfully repaid,2021-11-01,316
317,overdue,Payment overdue,2020-12-25,317
318,overdue,Payment overdue,2019-12-20,318
319,active,Loan in good standing,2020-02-17,319
320,closed,Loan successfully repaid,2021-12-02,320
321,active,Loan in good standing,2019-11-15,321
322,overdue,Payment overdue,2019-01-18,322
323,closed,Loan successfully repaid,2023-03-10,323
324,active,Loan in good standing,2023-11-25,324
325,overdue,Payment overdue,2022-12-16,325
326,overdue,Payment overdue,2019-02-04,326
327,overdue,Payment overdue,2019-11-15,327
328,active,Loan in good standing,2023-10-21,328
329,active,Loan in good standing,2022-05-10,329
330,overdue,Payment overdue,2022-08-10,330
331,active,Loan in good standing,2023-06-13,331
332,overdue,Payment overdue,2023-01-20,332
333,active,Loan in good standing,2020-10-25,333
334,active,Loan in good standing,2022-09-20,334
335,closed,Loan successfully repaid,2016-08-16,335
336,active,Loan in good standing,2023-11-26,336
337,closed,Loan successfully repaid,2019-06-05,337
338,active,Loan in good standing,2023-11-26,338
339,overdue,Payment overdue,2022-10-16,339
340,active,Loan in good standing,2023-08-09,340
341,closed,Loan successfully repaid,2016-06-16,341
342,closed,Loan successfully repaid,2019-06-23,342
343,active,Loan in good standing,2023-11-26,343
344,active,Loan in good standing,2022-12-05,344
345,closed,Loan successfully repaid,2021-10-24,345
346,active,Loan in good standing,2023-09-10,346
347,overdue,Payment overdue,2022-02-27,347
348,active,Loan in good standing,2022-05-29,348
349,active,Loan in good standing,2022-07-14,349
350,active,Loan in good standing,2023-07-03,350
351,closed,Loan successfully repaid,2018-12-01,351
352,overdue,Payment overdue,2019-04-11,352
353,closed,Loan successfully repaid,2016-03-16,353
354,closed,Loan successfully repaid,2021-09-15,354
355,overdue,Payment overdue,2022-09-23,355
356,overdue,Payment overdue,2022-10-21,356
357,active,Loan in good standing,2018-02-08,357
358,active,Loan in good standing,2023-11-26,358
359,closed,Loan successfully repaid,2021-10-20,359
360,overdue,Payment overdue,2023-09-27,360
361,overdue,Payment overdue,2022-01-23,361
362,closed,Loan successfully repaid,2019-06-01,362
363,active,Loan in good standing,2022-10-17,363
364,closed,Loan successfully repaid,2022-12-26,364
365,active,Loan in good standing,2023-03-28,365
366,closed,Loan successfully repaid,2016-08-29,366
367,active,Loan in good standing,2023-05-01,367
368,overdue,Payment overdue,2019-07-11,368
369,active,Loan in good standing,2018-10-26,369
370,active,Loan in good standing,2022-07-26,370
371,closed,Loan successfully repaid,2018-10-28,371
372,active,Loan in good standing,2023-06-06,372
373,overdue,Payment overdue,2021-04-17,373
374,active,Loan in good standing,2023-07-27,374
375,closed,Loan successfully repaid,2022-03-12,375
376,active,Loan in good standing,2023-11-26,376
377,active,Loan in good standing,2022-12-28,377
378,overdue,Payment overdue,2020-12-18,378
379,active,Loan in good standing,2023-11-26,379
380,closed,Loan successfully repaid,2021-08-19,380
381,closed,Loan successfully repaid,2019-10-17,381
382,overdue,Payment overdue,2023-04-30,382
383,active,Loan in good standing,2022-01-21,383
384,overdue,Payment overdue,2021-12-01,384
385,active,Loan in good standing,2023-08-07,385
386,closed,Loan successfully repaid,2018-08-18,386
387,overdue,Payment overdue,2017-04-25,387
388,active,Loan in good standing,2023-03-14,388
389,closed,Loan successfully repaid,2022-08-08,389
390,active,Loan in good standing,2023-11-26,390
391,closed,Loan successfully repaid,2017-08-01,391
392,closed,Loan successfully repaid,2018-07-07,392
393,active,Loan in good standing,2023-11-26,393
394,overdue,Payment overdue,2016-11-28,394
395,overdue,Payment overdue,2022-02-03,395
396,overdue,Payment overdue,2022-02-12,396
397,closed,Loan successfully repaid,2017-05-07,397
398,overdue,Payment overdue,2022-08-04,398
399,closed,Loan successfully repaid,2022-04-21,399
400,active,Loan in good standing,2022-02-26,400
401,active,Loan in good standing,2023-10-31,401
402,closed,Loan successfully repaid,2019-05-20,402
403,active,Loan in good standing,2023-10-04,403
404,overdue,Payment overdue,2020-09-28,404
405,overdue,Payment overdue,2020-10-09,405
406,active,Loan in good standing,2023-11-06,406
407,overdue,Payment overdue,2018-03-10,407
408,active,Loan in good standing,2022-11-20,408
409,active,Loan in good standing,2023-11-26,409
410,overdue,Payment overdue,2021-06-28,410
411,overdue,Payment overdue,2022-06-05,411
412,active,Loan in good standing,2022-01-26,412
413,overdue,Payment overdue,2022-05-20,413
414,active,Loan in good standing,2022-05-28,414
415,active,Loan in good standing,2022-07-02,415
416,overdue,Payment overdue,2020-07-30,416
417,overdue,Payment overdue,2022-07-08,417
418,active,Loan in good standing,2023-03-02,418
419,active,Loan in good standing,2023-11-26,419
420,overdue,Payment overdue,2020-01-05,420
421,closed,Loan successfully repaid,2017-01-09,421
422,overdue,Payment overdue,2023-05-19,422
423,overdue,Payment overdue,2018-10-21,423
424,overdue,Payment overdue,2021-10-28,424
425,closed,Loan successfully repaid,2020-03-17,425
426,active,Loan in good standing,2023-11-26,426
427,closed,Loan successfully repaid,2018-10-12,427
428,active,Loan in good standing,2023-09-30,428
429,closed,Loan successfully repaid,2018-12-04,429
430,active,Loan in good standing,2019-07-10,430
431,overdue,Payment overdue,2023-02-28,431
432,closed,Loan successfully repaid,2019-06-20,432
433,overdue,Payment overdue,2018-08-31,433
434,active,Loan in good standing,2020-03-19,434
435,closed,Loan successfully repaid,2018-05-30,435
436,active,Loan in good standing,2022-07-07,436
437,active,Loan in good standing,2023-11-26,437
438,active,Loan in good standing,2023-11-26,438
439,overdue,Payment overdue,2023-08-22,439
440,active,Loan in good standing,2022-08-09,440
441,active,Loan in good standing,2023-03-28,441
442,active,Loan in good standing,2020-01-14,442
443,closed,Loan successfully repaid,2021-03-10,443
444,closed,Loan successfully repaid,2020-01-20,444
445,active,Loan in good standing,2023-08-03,445
446,active,Loan in good standing,2023-11-26,446
447,active,Loan in good standing,2023-11-26,447
448,closed,Loan successfully repaid,2020-05-05,448
449,active,Loan in good standing,2023-11-06,449
450,active,Loan in good standing,2023-03-23,450
451,closed,Loan successfully repaid,2022-05-04,451
452,active,Loan in good standing,2023-11-26,452
453,active,Loan in good standing,2023-11-10,453
454,overdue,Payment overdue,2017-09-17,454
455,closed,Loan successfully repaid,2022-11-07,455
456,active,Loan in good standing,2023-11-26,456
457,closed,Loan successfully repaid,2016-11-16,457
458,active,Loan in good standing,2020-11-29,458
459,overdue,Payment overdue,2022-04-25,459
460,closed,Loan successfully repaid,2022-03-25,460
461,active,Loan in good standing,2023-05-27,461
462,active,Loan in good standing,2023-09-19,462
463,overdue,Payment overdue,2020-04-11,463
464,closed,Loan successfully repaid,2017-07-18,464
465,closed,Loan successfully repaid,2018-12-15,465
466,active,Loan in good standing,2023-11-26,466
467,active,Loan in good standing,2022-09-20,467
468,closed,Loan successfully repaid,2021-07-03,468
469,overdue,Payment overdue,2019-02-05,469
470,active,Loan in good standing,2023-10-23,470
471,active,Loan in good standing,2023-11-26,471
472,closed,Loan successfully repaid,2018-02-01,472
473,closed,Loan successfully repaid,2022-04-18,473
474,closed,Loan successfully repaid,2020-05-20,474
475,closed,Loan successfully repaid,2019-06-21,475
476,closed,Loan successfully repaid,2022-09-30,476
477,overdue,Payment overdue,2022-06-22,477
478,closed,Loan successfully repaid,2021-09-03,478
479,active,Loan in good standing,2023-06-06,479
480,overdue,Payment overdue,2021-03-10,480
481,active,Loan in good standing,2023-11-26,481
482,active,Loan in good standing,2023-11-26,482
483,active,Loan in good standing,2022-08-17,483
484,overdue,Payment overdue,2020-03-09,484
485,closed,Loan successfully repaid,2022-11-27,485
486,closed,Loan successfully repaid,2023-04-05,486
487,closed,Loan successfully repaid,2017-05-23,487
488,active,Loan in good standing,2023-11-26,488
489,active,Loan in good standing,2023-06-22,489
490,active,Loan in good standing,2019-12-31,490
491,closed,Loan successfully repaid,2017-12-06,491
492,active,Loan in good standing,2023-11-26,492
493,overdue,Payment overdue,2018-01-20,493
494,active,Loan in good standing,2021-07-01,494
495,overdue,Payment overdue,2019-09-13,495
496,active,Loan in good standing,2023-10-25,496
497,overdue,Payment overdue,2020-07-29,497
498,active,Loan in good standing,2023-09-12,498
499,closed,Loan successfully repaid,2022-06-19,499
500,active,Loan in good standing,2020-08-03,500
501,closed,Loan successfully repaid,2023-06-18,501
502,active,Loan in good standing,2023-11-26,502
503,closed,Loan successfully repaid,2020-06-30,503
504,closed,Loan successfully repaid,2016-01-30,504
505,closed,Loan successfully repaid,2022-08-12,505
506,overdue,Payment overdue,2023-11-03,506
507,overdue,Payment overdue,2023-11-16,507
508,overdue,Payment overdue,2019-03-08,508
509,closed,Loan successfully repaid,2017-12-17,509
510,overdue,Payment overdue,2022-06-09,510
511,overdue,Payment overdue,2023-08-12,511
512,overdue,Payment overdue,2023-04-24,512
513,overdue,Payment overdue,2018-12-15,513
514,closed,Loan successfully repaid,2020-05-10,514
515,closed,Loan successfully repaid,2017-03-06,515
516,active,Loan in good standing,2023-11-14,516
517,closed,Loan successfully repaid,2020-01-10,517
518,closed,Loan successfully repaid,2022-06-06,518
519,overdue,Payment overdue,2022-12-18,519
520,overdue,Payment overdue,2021-07-27,520
521,closed,Loan successfully repaid,2020-02-04,521
522,overdue,Payment overdue,2022-05-09,522
523,closed,Loan successfully repaid,2022-02-11,523
524,active,Loan in good standing,2023-09-11,524
525,active,Loan in good standing,2017-11-26,525
526,active,Loan in good standing,2023-02-14,526
527,overdue,Payment overdue,2022-12-02,527
528,overdue,Payment overdue,2023-06-09,528
529,active,Loan in good standing,2023-07-18,529
530,closed,Loan successfully repaid,2022-07-02,530
531,overdue,Payment overdue,2023-02-25,531
532,closed,Loan successfully repaid,2018-09-07,532
533,active,Loan in good standing,2023-11-26,533
534,active,Loan in good standing,2023-09-27,534
535,closed,Loan successfully repaid,2016-12-17,535
536,overdue,Payment overdue,2021-02-09,536
537,active,Loan in good standing,2023-03-20,537
538,overdue,Payment overdue,2023-06-16,538
539,active,Loan in good standing,2022-08-23,539
540,active,Loan in good standing,2021-07-18,540
541,overdue,Payment overdue,2018-12-15,541
542,closed,Loan successfully repaid,2019-04-17,542
543,active,Loan in good standing,2021-09-29,543
544,overdue,Payment overdue,2020-01-06,544
545,active,Loan in good standing,2022-09-11,545
546,overdue,Payment overdue,2022-07-07,546
547,active,Loan in good standing,2022-05-23,547
548,active,Loan in good standing,2023-11-26,548
549,closed,Loan successfully repaid,2018-01-19,549
550,closed,Loan successfully repaid,2019-12-04,550
551,overdue,Payment overdue,2017-12-30,551
552,overdue,Payment overdue,2020-03-31,552
553,closed,Loan successfully repaid,2019-01-16,553
554,active,Loan in good standing,2023-10-02,554
555,overdue,Payment overdue,2023-09-27,555
556,active,Loan in good standing,2023-03-23,556
557,active,Loan in good standing,2023-11-26,557
558,overdue,Payment overdue,2021-04-27,558
559,closed,Loan successfully repaid,2020-09-07,559
560,active,Loan in good standing,2023-11-13,560
561,active,Loan in good standing,2023-10-24,561
562,overdue,Payment overdue,2022-07-29,562
563,closed,Loan successfully repaid,2018-06-05,563
564,active,Loan in good standing,2023-09-22,564
565,active,Loan in good standing,2020-09-01,565
566,overdue,Payment overdue,2022-06-21,566
567,active,Loan in good standing,2023-08-19,567
568,overdue,Payment overdue,2023-10-05,568
569,active,Loan in good standing,2023-09-22,569
570,overdue,Payment overdue,2022-09-06,570
571,closed,Loan successfully repaid,2021-11-07,571
572,closed,Loan successfully repaid,2023-05-28,572
573,active,Loan in good standing,2023-07-25,573
574,closed,Loan successfully repaid,2017-12-02,574
575,closed,Loan successfully repaid,2021-04-20,575
576,closed,Loan successfully repaid,2021-06-20,576
577,overdue,Payment overdue,2021-09-24,577
578,overdue,Payment overdue,2019-04-18,578
579,overdue,Payment overdue,2019-11-25,579
580,active,Loan in good standing,2023-11-26,580
581,closed,Loan successfully repaid,2017-08-22,581
582,active,Loan in good standing,2021-01-28,582
583,overdue,Payment overdue,2023-04-14,583
584,closed,Loan successfully repaid,2019-06-21,584
585,closed,Loan successfully repaid,2020-02-23,585
586,active,Loan in good standing,2023-11-26,586
587,overdue,Payment overdue,2023-03-25,587
588,closed,Loan successfully repaid,2023-06-12,588
589,closed,Loan successfully repaid,2019-11-25,589
590,closed,Loan successfully repaid,2021-06-30,590
591,active,Loan in good standing,2023-08-03,591
592,overdue,Payment overdue,2021-12-07,592
593,closed,Loan successfully repaid,2021-09-04,593
594,closed,Loan successfully repaid,2023-05-29,594
595,active,Loan in good standing,2023-02-08,595
596,overdue,Payment overdue,2022-02-03,596
597,overdue,Payment overdue,2023-04-04,597
598,active,Loan in good standing,2023-11-26,598
599,closed,Loan successfully repaid,2020-03-09,599
600,closed,Loan successfully repaid,2020-06-15,600
601,overdue,Payment overdue,2023-08-29,601
602,overdue,Payment overdue,2023-02-02,602
603,overdue,Payment overdue,2021-05-29,603
604,active,Loan in good standing,2023-06-17,604
605,active,Loan in good standing,2022-06-16,605
606,overdue,Payment overdue,2023-05-20,606
607,active,Loan in good standing,2018-11-24,607
608,closed,Loan successfully repaid,2020-04-21,608
609,closed,Loan successfully repaid,2022-02-21,609
610,active,Loan in good standing,2022-12-21,610
611,active,Loan in good standing,2023-10-12,611
612,closed,Loan successfully repaid,2022-08-01,612
613,active,Loan in good standing,2023-09-04,613
614,active,Loan in good standing,2021-11-16,614
615,active,Loan in good standing,2022-05-22,615
616,overdue,Payment overdue,2019-05-25,616
617,closed,Loan successfully repaid,2023-05-09,617
618,closed,Loan successfully repaid,2017-01-18,618
619,active,Loan in good standing,2023-11-26,619
620,active,Loan in good standing,2022-08-10,620
621,closed,Loan successfully repaid,2022-05-11,621
622,active,Loan in good standing,2021-06-03,622
623,closed,Loan successfully repaid,2017-10-19,623
624,active,Loan in good standing,2023-11-26,624
625,closed,Loan successfully repaid,2022-11-18,625
626,active,Loan in good standing,2023-11-26,626
627,overdue,Payment overdue,2021-03-24,627
