payment_id,payment_amount,payment_date,loan_agreement_id
98,6741.08,2023-11-01,98
99,778.53,2020-08-01,99
100,6744.43,2020-06-10,100
101,12906.74,2023-04-30,101
102,10146.03,2022-09-30,102
103,10722.91,2017-05-06,103
104,8358.72,2019-06-09,104
105,11458.08,2023-04-09,105
106,6284.03,2021-10-02,106
107,14605.24,2022-10-12,107
108,13409.85,2022-03-15,108
109,921.6,2023-11-26,109
110,10588.21,2023-05-25,110
111,2463.2,2021-06-03,111
112,9845.15,2018-11-01,112
113,5891.57,2017-01-23,113
114,1591.92,2023-11-26,114
115,6171.91,2019-10-20,115
116,8472.42,2023-05-09,116
117,2656.09,2022-05-18,117
118,3441.68,2022-12-11,118
119,3617.99,2023-01-29,119
120,11432.89,2023-11-26,120
121,6960.28,2020-04-30,121
122,4319.97,2023-08-01,122
123,4487.29,2019-04-14,123
124,4631.4,2020-07-20,124
125,9711.99,2020-10-04,125
126,14039.36,2020-11-15,126
127,4749.07,2023-11-26,127
128,1398.32,2023-11-26,128
129,448.12,2023-11-26,129
130,5830.81,2022-08-11,130
131,1924.38,2019-11-20,131
132,14502.02,2022-06-23,132
133,14442.68,2017-06-24,133
134,6373.39,2016-11-28,134
135,13734.06,2023-08-28,135
136,2037.95,2023-11-26,136
137,8759.01,2023-11-26,137
138,12871.17,2021-05-25,138
139,10106.47,2023-11-26,139
140,11938.64,2022-05-26,140
141,1369.76,2023-10-31,141
142,1041.79,2018-12-13,142
143,11711.62,2020-10-20,143
144,6031.55,2021-12-13,144
145,551.17,2023-05-26,145
146,7790.79,2018-03-25,146
147,418.2,2023-11-26,147
148,11227.38,2020-05-03,148
149,4059.7,2017-02-26,149
150,14700.36,2023-09-24,150
151,9103.58,2023-03-27,151
152,10838.23,2023-11-26,152
153,1515.35,2023-02-02,153
154,7041.39,2023-09-27,154
155,5752.75,2020-04-14,155
156,2029.77,2022-07-05,156
157,3707.39,2022-12-02,157
158,1256.88,2019-12-28,158
159,3021.39,2017-07-24,159
160,608.8,2016-10-23,160
161,7084.21,2023-10-19,161
162,5951.2,2022-05-02,162
163,2725.01,2021-08-24,163
164,10261.9,2023-06-13,164
165,3900.0,2023-01-07,165
166,10459.74,2020-12-10,166
167,5490.17,2018-09-29,167
168,6888.62,2023-07-21,168
169,4932.89,2017-07-08,169
170,872.74,2020-06-25,170
171,1055.37,2023-07-22,171
172,3319.54,2018-06-01,172
173,7179.79,2021-12-18,173
174,1002.06,2020-03-04,174
175,7854.21,2022-02-08,175
176,8430.15,2018-08-15,176
177,211.72,2023-11-14,177
178,8905.4,2019-06-19,178
179,13098.03,2023-07-22,179
180,2371.41,2022-08-31,180
181,3838.89,2023-11-26,181
182,3681.63,2023-06-18,182
183,9677.59,2023-01-10,183
184,4947.86,2018-12-09,184
185,5101.85,2021-03-23,185
186,2043.9,2022-02-10,186
187,12800.17,2023-11-15,187
188,662.37,2021-10-25,188
189,10466.78,2022-06-12,189
190,209.8,2023-11-26,190
191,11788.93,2018-12-04,191
192,13659.76,2019-04-25,192
193,1359.83,2023-11-26,193
194,4669.18,2023-11-26,194
195,12490.91,2020-10-21,195
196,14122.66,2022-09-16,196
197,8400.55,2023-10-07,197
198,7157.35,2019-09-16,198
199,5452.77,2017-01-17,199
200,3794.95,2022-11-20,200
201,14698.67,2021-10-17,201
202,5637.61,2018-07-20,202
203,4946.17,2019-03-21,203
204,5764.37,2019-08-02,204
205,3406.4,2018-04-12,205
206,11481.05,2023-11-26,206
207,2699.5,2023-01-13,207
208,4549.65,2021-03-15,208
209,11655.98,2023-08-05,209
210,5901.17,2023-02-15,210
211,767.94,2022-04-16,211
212,14460.15,2020-02-24,212
213,10357.73,2019-09-22,213
214,10032.04,2020-07-30,214
215,11553.59,2022-08-14,215
216,203.72,2023-10-15,216
217,10223.39,2020-02-28,217
218,13788.85,2023-11-25,218
219,8923.48,2023-06-26,219
220,11239.25,2020-10-02,220
221,5104.89,2023-11-18,221
222,12559.15,2023-11-26,222
223,227.2,2023-11-26,223
224,1153.89,2023-01-18,224
225,5838.06,2020-11-02,225
226,9231.74,2022-01-14,226
227,12498.38,2022-08-06,227
228,12801.28,2021-05-06,228
229,9990.3,2023-11-26,229
230,12512.34,2019-06-15,230
231,4047.6,2017-10-13,231
232,957.56,2023-11-26,232
233,12841.85,2020-09-16,233
234,7053.31,2017-07-06,234
235,1529.67,2018-08-24,235
236,2053.14,2019-10-19,236
237,12580.73,2023-11-26,237
238,12915.25,2023-05-20,238
239,9069.51,2022-11-01,239
240,5397.95,2020-09-14,240
241,7841.48,2023-04-23,241
242,8004.32,2022-12-22,242
243,8391.6,2023-10-26,243
244,208.41,2023-11-26,244
245,14200.44,2022-11-28,245
246,2243.0,2020-12-15,246
247,2275.46,2023-11-26,247
248,9060.89,2021-06-30,248
249,6131.99,2021-04-16,249
250,12929.69,2020-09-06,250
251,1440.4,2021-06-12,251
252,13013.95,2023-09-08,252
253,1996.59,2016-12-31,253
254,541.29,2021-06-27,254
255,7869.98,2016-12-20,255
256,11422.42,2019-11-22,256
257,9814.28,2023-01-24,257
258,2792.44,2019-05-04,258
259,2678.96,2023-11-06,259
260,8145.07,2019-01-27,260
261,11365.78,2019-10-25,261
262,1179.94,2019-02-18,262
263,11609.68,2023-02-18,263
264,7169.68,2021-03-02,264
265,14388.28,2019-06-05,265
266,5995.09,2023-11-26,266
267,14072.08,2021-10-06,267
268,2184.96,2023-11-26,268
269,8156.62,2023-11-26,269
270,487.29,2019-12-02,270
271,4640.23,2023-03-31,271
272,4168.24,2019-03-13,272
273,10591.16,2022-02-12,273
274,7955.15,2020-11-03,274
275,10207.52,2023-02-05,275
276,612.32,2023-11-26,276
277,1922.1,2022-10-20,277
278,6925.63,2022-12-01,278
279,10693.84,2021-10-30,279
280,3293.67,2018-06-17,280
281,2735.92,2020-04-22,281
282,13307.29,2023-06-06,282
283,6386.57,2023-11-26,283
284,14923.45,2023-11-21,284
285,2102.34,2023-11-26,285
286,3132.47,2023-05-05,286
287,13070.84,2022-02-05,287
288,7423.54,2023-02-24,288
289,8386.76,2017-02-14,289
290,11315.59,2022-11-25,290
291,12133.14,2018-04-16,291
292,13854.21,2020-01-08,292
293,9630.64,2023-10-20,293
294,655.67,2023-01-20,294
295,6824.8,2018-04-27,295
296,5705.23,2023-01-26,296
297,3522.97,2023-05-11,297
298,13963.99,2022-04-13,298
299,9874.86,2022-03-18,299
300,4925.91,2019-09-10,300
301,5942.53,2023-04-24,301
302,10975.07,2023-11-26,302
303,8919.17,2023-10-18,303
304,2877.36,2023-01-22,304
305,5313.25,2023-10-13,305
306,3986.48,2019-12-26,306
307,13095.71,2021-12-17,307
308,8073.66,2020-11-25,308
309,4105.14,2019-09-26,309
310,8639.89,2023-06-29,310
311,4193.96,2023-01-06,311
312,2191.49,2023-02-23,312
313,4330.26,2020-11-19,313
314,11817.89,2020-02-04,314
315,1039.44,2016-12-05,315
316,12281.93,2021-11-01,316
317,12575.05,2020-12-25,317
318,12348.7,2019-12-20,318
319,14408.29,2020-02-17,319
320,2968.94,2021-12-02,320
321,14148.28,2019-11-15,321
322,2064.17,2019-01-18,322
323,6926.21,2023-03-10,323
324,11534.71,2023-11-25,324
325,3054.48,2022-12-16,325
326,11539.09,2019-02-04,326
327,14822.34,2019-11-15,327
328,8444.09,2023-10-21,328
329,11180.8,2022-05-10,329
330,3466.33,2022-08-10,330
331,2848.23,2023-06-13,331
332,9205.41,2023-01-20,332
333,9141.46,2020-10-25,333
334,10644.76,2022-09-20,334
335,971.07,2016-08-16,335
336,12104.34,2023-11-26,336
337,9828.96,2019-06-05,337
338,363.56,2023-11-26,338
339,6795.13,2022-10-16,339
340,11138.47,2023-08-09,340
341,2206.4,2016-06-16,341
342,545.21,2019-06-23,342
343,12539.75,2023-11-26,343
344,5592.9,2022-12-05,344
345,2676.75,2021-10-24,345
346,2500.24,2023-09-10,346
347,12769.8,2022-02-27,347
348,6435.26,2022-05-29,348
349,10772.24,2022-07-14,349
350,594.96,2023-07-03,350
351,9944.34,2018-12-01,351
352,12298.14,2019-04-11,352
353,10819.12,2016-03-16,353
354,4290.76,2021-09-15,354
355,7629.04,2022-09-23,355
356,11330.9,2022-10-21,356
357,10190.39,2018-02-08,357
358,2866.99,2023-11-26,358
359,3261.38,2021-10-20,359
360,14841.08,2023-09-27,360
361,2971.47,2022-01-23,361
362,5848.59,2019-06-01,362
363,5312.64,2022-10-17,363
364,248.07,2022-12-26,364
365,2608.55,2023-03-28,365
366,14400.71,2016-08-29,366
367,676.42,2023-05-01,367
368,6449.74,2019-07-11,368
369,7521.13,2018-10-26,369
370,9890.72,2022-07-26,370
371,863.65,2018-10-28,371
372,12544.24,2023-06-06,372
373,6316.03,2021-04-17,373
374,11053.24,2023-07-27,374
375,6322.15,2022-03-12,375
376,13396.92,2023-11-26,376
377,2794.74,2022-12-28,377
378,6392.14,2020-12-18,378
379,10357.96,2023-11-26,379
380,3290.58,2021-08-19,380
381,11365.59,2019-10-17,381
382,7407.57,2023-04-30,382
383,11088.77,2022-01-21,383
384,6260.65,2021-12-01,384
385,3529.6,2023-08-07,385
386,3421.35,2018-08-18,386
387,6291.7,2017-04-25,387
388,822.52,2023-03-14,388
389,5789.34,2022-08-08,389
390,5364.38,2023-11-26,390
391,7608.78,2017-08-01,391
392,7220.62,2018-07-07,392
393,9466.62,2023-11-26,393
394,12121.45,2016-11-28,394
395,7507.99,2022-02-03,395
396,6797.4,2022-02-12,396
397,7491.97,2017-05-07,397
398,12470.35,2022-08-04,398
399,14595.89,2022-04-21,399
400,4985.55,2022-02-26,400
401,10413.3,2023-10-31,401
402,6233.54,2019-05-20,402
403,9650.04,2023-10-04,403
404,14941.95,2020-09-28,404
405,14989.92,2020-10-09,405
406,5129.67,2023-11-06,406
407,1789.21,2018-03-10,407
408,6960.91,2022-11-20,408
409,8509.82,2023-11-26,409
410,6807.93,2021-06-28,410
411,3429.4,2022-06-05,411
412,8104.48,2022-01-26,412
413,7521.6,2022-05-20,413
414,14344.1,2022-05-28,414
415,4354.68,2022-07-02,415
416,13912.87,2020-07-30,416
417,492.6,2022-07-08,417
418,488.62,2023-03-02,418
419,3530.56,2023-11-26,419
420,14840.58,2020-01-05,420
421,11511.02,2017-01-09,421
422,6423.4,2023-05-19,422
423,4803.97,2018-10-21,423
424,8890.37,2021-10-28,424
425,10144.42,2020-03-17,425
426,11881.79,2023-11-26,426
427,3096.79,2018-10-12,427
428,5262.2,2023-09-30,428
429,9391.6,2018-12-04,429
430,6352.02,2019-07-10,430
431,8488.76,2023-02-28,431
432,14667.14,2019-06-20,432
433,13757.57,2018-08-31,433
434,13525.84,2020-03-19,434
435,2838.81,2018-05-30,435
436,2568.16,2022-07-07,436
437,1399.6,2023-11-26,437
438,14847.53,2023-11-26,438
439,5216.47,2023-08-22,439
440,4092.47,2022-08-09,440
441,14686.54,2023-03-28,441
442,4511.56,2020-01-14,442
443,6498.57,2021-03-10,443
444,9011.37,2020-01-20,444
445,10053.35,2023-08-03,445
446,2381.72,2023-11-26,446
447,4306.22,2023-11-26,447
448,13242.83,2020-05-05,448
449,2670.41,2023-11-06,449
450,10621.81,2023-03-23,450
451,9604.0,2022-05-04,451
452,14362.84,2023-11-26,452
453,12018.84,2023-11-10,453
454,9679.09,2017-09-17,454
455,9650.18,2022-11-07,455
456,1443.43,2023-11-26,456
457,9801.15,2016-11-16,457
458,6302.38,2020-11-29,458
459,7299.8,2022-04-25,459
460,6732.02,2022-03-25,460
461,12637.8,2023-05-27,461
462,5510.97,2023-09-19,462
463,1269.06,2020-04-11,463
464,7234.37,2017-07-18,464
465,2947.92,2018-12-15,465
466,11914.0,2023-11-26,466
467,5314.09,2022-09-20,467
468,8569.48,2021-07-03,468
469,10491.37,2019-02-05,469
470,8031.83,2023-10-23,470
471,2040.42,2023-11-26,471
472,2797.63,2018-02-01,472
473,3122.35,2022-04-18,473
474,13714.35,2020-05-20,474
475,1186.35,2019-06-21,475
476,14822.26,2022-09-30,476
477,8538.33,2022-06-22,477
478,5418.11,2021-09-03,478
479,7228.25,2023-06-06,479
480,11531.11,2021-03-10,480
481,3233.32,2023-11-26,481
482,5306.82,2023-11-26,482
483,11639.99,2022-08-17,483
484,5742.23,2020-03-09,484
485,684.88,2022-11-27,485
486,3497.29,2023-04-05,486
487,1464.51,2017-05-23,487
488,5577.01,2023-11-26,488
489,13074.78,2023-06-22,489
490,786.45,2019-12-31,490
491,6179.73,2017-12-06,491
492,3699.37,2023-11-26,492
493,4742.08,2018-01-20,493
494,12386.45,2021-07-01,494
495,5439.75,2019-09-13,495
496,11794.15,2023-10-25,496
497,8061.1,2020-07-29,497
498,6701.11,2023-09-12,498
499,3183.98,2022-06-19,499
500,2813.15,2020-08-03,500
501,14219.09,2023-06-18,501
502,11434.91,2023-11-26,502
503,5732.51,2020-06-30,503
504,1088.56,2016-01-30,504
505,888.2,2022-08-12,505
506,6726.01,2023-11-03,506
507,9114.47,2023-11-16,507
508,5865.8,2019-03-08,508
509,9915.3,2017-12-17,509
510,14653.45,2022-06-09,510
511,1778.35,2023-08-12,511
512,204.73,2023-04-24,512
513,1056.7,2018-12-15,513
514,3355.39,2020-05-10,514
515,3809.17,2017-03-06,515
516,8449.36,2023-11-14,516
517,4126.85,2020-01-10,517
518,1942.6,2022-06-06,518
519,12697.24,2022-12-18,519
520,13951.92,2021-07-27,520
521,3088.43,2020-02-04,521
522,13217.84,2022-05-09,522
523,3129.05,2022-02-11,523
524,3086.9,2023-09-11,524
525,1883.93,2017-11-26,525
526,12303.96,2023-02-14,526
527,5425.97,2022-12-02,527
528,12560.77,2023-06-09,528
529,3120.75,2023-07-18,529
530,8457.14,2022-07-02,530
531,11898.96,2023-02-25,531
532,1385.06,2018-09-07,532
533,13226.72,2023-11-26,533
534,3945.37,2023-09-27,534
535,10488.57,2016-12-17,535
536,13995.31,2021-02-09,536
537,302.65,2023-03-20,537
538,397.07,2023-06-16,538
539,10593.47,2022-08-23,539
540,841.31,2021-07-18,540
541,12518.37,2018-12-15,541
542,939.89,2019-04-17,542
543,1887.55,2021-09-29,543
544,13945.2,2020-01-06,544
545,1770.5,2022-09-11,545
546,10186.49,2022-07-07,546
547,13243.36,2022-05-23,547
548,9455.89,2023-11-26,548
549,11396.63,2018-01-19,549
550,7890.6,2019-12-04,550
551,3211.01,2017-12-30,551
552,9914.57,2020-03-31,552
553,13077.35,2019-01-16,553
554,12478.15,2023-10-02,554
555,980.19,2023-09-27,555
556,9693.1,2023-03-23,556
557,770.93,2023-11-26,557
558,828.9,2021-04-27,558
559,13288.95,2020-09-07,559
560,9126.85,2023-11-13,560
561,3333.18,2023-10-24,561
562,13506.92,2022-07-29,562
563,1628.71,2018-06-05,563
564,3784.71,2023-09-22,564
565,12102.91,2020-09-01,565
566,11708.72,2022-06-21,566
567,13870.97,2023-08-19,567
568,11728.1,2023-10-05,568
569,3087.74,2023-09-22,569
570,13361.38,2022-09-06,570
571,2037.42,2021-11-07,571
572,7302.2,2023-05-28,572
573,3631.71,2023-07-25,573
574,12907.31,2017-12-02,574
575,1487.41,2021-04-20,575
576,9592.62,2021-06-20,576
577,5648.5,2021-09-24,577
578,8663.36,2019-04-18,578
579,11333.28,2019-11-25,579
580,1184.33,2023-11-26,580
581,3154.96,2017-08-22,581
582,13021.36,2021-01-28,582
583,4846.49,2023-04-14,583
584,235.65,2019-06-21,584
585,5501.01,2020-02-23,585
586,2956.96,2023-11-26,586
587,4909.16,2023-03-25,587
588,8290.2,2023-06-12,588
589,4056.24,2019-11-25,589
590,14660.5,2021-06-30,590
591,1867.22,2023-08-03,591
592,1769.71,2021-12-07,592
593,4460.95,2021-09-04,593
594,2305.39,2023-05-29,594
595,14913.15,2023-02-08,595
596,6266.73,2022-02-03,596
597,349.17,2023-04-04,597
598,2717.47,2023-11-26,598
599,6357.58,2020-03-09,599
600,827.45,2020-06-15,600
601,11998.86,2023-08-29,601
602,6285.28,2023-02-02,602
603,13285.59,2021-05-29,603
604,1793.14,2023-06-17,604
605,867.19,2022-06-16,605
606,5732.0,2023-05-20,606
607,3739.02,2018-11-24,607
608,8421.09,2020-04-21,608
609,8098.89,2022-02-21,609
610,6505.18,2022-12-21,610
611,14075.13,2023-10-12,611
612,7206.89,2022-08-01,612
613,5470.9,2023-09-04,613
614,4225.25,2021-11-16,614
615,6974.28,2022-05-22,615
616,13354.8,2019-05-25,616
617,3327.18,2023-05-09,617
618,6556.66,2017-01-18,618
619,1980.56,2023-11-26,619
620,3148.97,2022-08-10,620
621,14934.22,2022-05-11,621
622,14344.72,2021-06-03,622
623,1875.94,2017-10-19,623
624,2764.08,2023-11-26,624
625,2124.22,2022-11-18,625
626,2340.82,2023-11-26,626
627,6130.91,2021-03-24,627
628,14989.46,2022-06-29,628
629,6771.9,2021-11-13,629
630,5793.63,2023-11-26,630
631,3000.5,2023-11-26,631
632,8401.5,2020-11-17,632
633,10746.06,2023-03-17,633
634,14578.02,2020-09-03,634
635,708.73,2023-11-26,635
636,9135.93,2021-11-19,636
637,2280.53,2023-08-01,637
638,7588.33,2019-01-19,638
639,14010.15,2017-11-01,639
640,3272.84,2023-07-03,640
641,6930.7,2022-08-23,641
642,6379.84,2020-05-27,642
643,1032.86,2022-11-23,643
644,5148.08,2023-11-26,644
645,7966.93,2021-11-11,645
646,6556.72,2021-11-09,646
647,14499.46,2021-02-11,647
648,2649.21,2023-02-20,648
649,2977.87,2019-02-06,649
650,12851.03,2023-04-08,650
651,7314.46,2022-08-16,651
652,2332.68,2022-12-12,652
653,6726.92,2020-04-14,653
654,4073.44,2019-08-12,654
655,5017.55,2023-11-26,655
656,2783.13,2022-08-11,656
657,7770.92,2018-09-05,657
658,4767.48,2019-01-08,658
659,1512.47,2017-09-10,659
660,13333.27,2019-11-03,660
661,471.04,2016-07-19,661
662,819.76,2022-02-15,662
663,1076.85,2018-04-12,663
664,3871.51,2023-11-26,664
665,13593.0,2020-08-20,665
666,7979.75,2019-08-01,666
667,8024.98,2016-09-05,667
668,13663.76,2023-11-26,668
669,5247.84,2021-08-19,669
670,10224.37,2018-05-24,670
671,14663.82,2016-07-23,671
672,3662.34,2022-05-27,672
673,6313.37,2023-07-08,673
674,14386.84,2022-01-14,674
675,7434.14,2023-07-18,675
676,8329.51,2023-02-01,676
677,2799.7,2020-10-31,677
678,10325.14,2023-06-05,678
679,13823.11,2022-08-12,679
680,309.4,2021-11-29,680
681,11269.17,2018-01-25,681
682,683.05,2023-10-13,682
683,2458.81,2023-05-21,683
684,8720.53,2017-02-11,684
685,14902.95,2022-10-03,685
686,9974.81,2020-08-07,686
687,1837.37,2023-11-16,687
688,5184.01,2021-05-09,688
689,5853.98,2021-04-11,689
690,9206.29,2022-03-03,690
691,11231.94,2023-11-26,691
692,9520.63,2017-11-30,692
693,13830.43,2023-03-21,693
694,14791.72,2022-11-24,694
695,4921.03,2022-05-25,695
696,721.67,2021-02-25,696
697,2415.42,2023-04-03,697
698,235.15,2020-02-12,698
699,4294.82,2023-11-21,699
700,2242.9,2020-01-17,700
701,13592.29,2022-08-11,701
702,14513.93,2022-08-30,702
703,2053.38,2022-09-01,703
704,6907.29,2023-11-26,704
705,9446.22,2023-11-26,705
706,9615.39,2023-11-26,706
707,2470.61,2023-11-26,707
708,3236.22,2019-11-14,708
709,11037.89,2019-02-02,709
710,12692.52,2022-06-08,710
711,11580.55,2023-08-24,711
712,589.36,2023-05-07,712
713,2456.89,2016-10-10,713
714,4821.37,2020-12-13,714
715,6058.19,2023-05-12,715
716,1856.68,2023-06-24,716
717,2262.05,2021-04-21,717
718,12887.52,2023-05-10,718
719,13823.01,2017-09-24,719
720,12772.37,2018-12-07,720
721,2172.16,2018-10-07,721
722,2029.34,2022-09-08,722
723,2902.65,2023-10-11,723
724,1104.0,2023-08-18,724
725,703.1,2023-02-20,725
726,3860.91,2020-10-27,726
727,650.29,2016-11-10,727
728,9365.79,2020-09-04,728
729,5085.54,2019-01-05,729
730,9818.35,2023-11-26,730
731,13005.77,2021-09-20,731
732,14958.02,2023-01-26,732
733,4933.34,2017-07-28,733
734,4535.46,2022-04-06,734
735,1440.81,2020-08-08,735
736,3267.21,2021-04-23,736
737,940.79,2023-11-26,737
738,6633.1,2021-08-07,738
739,446.29,2023-09-21,739
740,14945.09,2022-12-13,740
741,2939.28,2021-04-07,741
742,13246.99,2023-03-31,742
743,558.43,2023-05-13,743
744,13975.11,2022-03-08,744
745,6931.73,2020-06-20,745
746,14556.05,2020-11-10,746
747,14002.67,2022-04-06,747
748,5050.06,2020-07-28,748
749,2394.34,2023-10-09,749
750,3470.72,2019-10-16,750
751,506.98,2020-06-16,751
752,6898.55,2019-08-07,752
753,5546.7,2023-02-24,753
754,8030.42,2023-11-26,754
755,13056.66,2021-06-20,755
756,12259.78,2023-11-26,756
757,5784.92,2019-01-02,757
758,8552.29,2018-09-03,758
759,11427.02,2023-11-26,759
760,9861.83,2023-10-13,760
761,11065.19,2022-04-15,761
762,8729.85,2022-07-24,762
763,5757.61,2019-12-30,763
764,5851.12,2023-11-26,764
765,5000.16,2023-11-26,765
766,8428.42,2023-11-01,766
767,9685.94,2021-11-08,767
768,6081.64,2022-02-26,768
769,1683.74,2023-01-12,769
770,215.05,2016-11-10,770
771,6692.66,2022-11-01,771
772,7320.87,2023-11-26,772
773,8588.43,2022-07-05,773
774,3407.44,2021-10-12,774
775,10979.09,2021-06-09,775
776,1437.82,2021-12-27,776
777,14290.41,2023-01-31,777
778,3373.89,2022-09-17,778
779,6204.83,2021-12-13,779
780,10442.13,2023-11-26,780
781,12901.25,2019-12-20,781
782,5615.92,2018-05-17,782
783,3670.35,2021-10-03,783
784,14056.7,2023-07-30,784
785,7270.55,2023-04-13,785
786,4952.97,2023-07-01,786
787,4766.72,2023-02-05,787
788,6737.9,2016-09-11,788
789,13445.82,2019-12-03,789
790,9317.89,2022-03-23,790
791,6288.63,2022-11-17,791
792,7279.92,2022-01-13,792
793,3722.59,2023-11-26,793
794,2603.46,2022-09-09,794
795,2654.95,2023-11-12,795
796,13113.16,2023-11-26,796
797,12062.77,2020-12-29,797
798,8560.26,2021-04-21,798
799,14037.89,2023-11-26,799
800,8721.12,2020-02-25,800
801,5073.27,2022-04-01,801
802,7271.71,2020-04-23,802
803,5652.99,2023-11-05,803
804,6100.83,2019-03-13,804
805,2634.3,2021-11-20,805
806,4320.62,2018-10-08,806
807,516.94,2020-08-10,807
808,14151.1,2023-08-24,808
809,6816.27,2021-03-13,809
810,6559.77,2016-11-09,810
811,12454.99,2023-11-06,811
812,7828.26,2022-04-30,812
813,4333.68,2023-09-07,813
814,8106.21,2020-02-10,814
815,2054.83,2023-10-08,815
816,817.13,2022-04-22,816
817,737.36,2022-08-03,817
818,7710.46,2021-03-06,818
819,6164.67,2023-11-26,819
820,10737.11,2023-11-26,820
821,1441.75,2023-11-26,821
822,13019.48,2023-05-02,822
823,14741.16,2021-03-31,823
824,332.42,2020-06-19,824
825,8417.15,2018-10-13,825
826,2412.16,2019-01-27,826
827,7615.53,2020-05-02,827
828,3262.31,2022-08-24,828
829,849.57,2020-03-25,829
830,4232.66,2019-09-04,830
831,9053.56,2022-11-03,831
832,8602.25,2020-09-13,832
833,10182.01,2023-11-26,833
834,9915.67,2022-09-18,834
835,14218.73,2019-06-28,835
836,8982.05,2022-02-12,836
837,10612.38,2021-11-07,837
838,13655.63,2023-04-04,838
839,12049.02,2023-10-07,839
840,9027.89,2023-03-30,840
841,3413.24,2019-04-11,841
842,12051.48,2022-05-17,842
843,7247.23,2017-09-22,843
844,10966.78,2023-01-18,844
845,10357.94,2023-11-09,845
846,11221.56,2023-02-09,846
847,1191.89,2020-02-06,847
848,12218.03,2021-12-02,848
849,1124.12,2023-11-26,849
850,1035.92,2021-11-24,850
851,7817.99,2017-06-15,851
852,7535.53,2022-05-04,852
853,10633.22,2023-11-26,853
854,1023.85,2018-04-17,854
855,7990.9,2018-06-04,855
856,11017.75,2023-08-17,856
857,5070.01,2023-07-17,857
858,7830.04,2020-06-07,858
859,9176.93,2023-11-26,859
860,3967.85,2021-06-06,860
861,13535.28,2019-03-01,861
862,6306.53,2023-11-09,862
863,2506.15,2023-11-26,863
864,14054.34,2022-10-24,864
865,10599.28,2023-11-26,865
866,708.77,2023-02-11,866
867,11205.47,2021-10-09,867
868,12641.53,2021-10-01,868
869,13209.17,2021-11-02,869
870,4744.17,2023-11-20,870
871,3009.46,2023-04-03,871
872,7861.08,2023-11-26,872
873,8534.62,2020-09-17,873
874,13744.59,2022-04-24,874
875,9196.97,2023-09-05,875
876,5763.87,2023-03-14,876
