loan_agreement_id,loan_amount,loan_issue_date,loan_repayment_date,account_id,type_of_loan_id
105,149811,2020-09-02,2023-04-08,105,105
106,148325,2021-01-14,2021-09-28,106,106
107,144834,2016-08-19,2023-02-10,107,107
108,50712,2017-12-24,2025-01-11,108,108
109,35067,2024-09-27,2025-02-19,109,109
110,58660,2022-08-17,2024-09-27,110,110
111,121655,2020-07-27,2021-11-04,111,111
112,72861,2018-06-19,2018-10-22,112,112
113,47599,2016-04-25,2018-01-12,113,113
114,2200,2024-08-13,2024-09-22,114,114
115,60506,2018-01-22,2023-12-17,115,115
116,128554,2022-08-04,2023-08-14,116,116
117,120330,2021-10-15,2022-05-08,117,117
118,9128,2020-02-07,2022-12-07,118,118
119,95271,2018-08-23,2024-11-14,119,119
120,87667,2024-05-14,2024-06-24,120,120
121,137404,2020-03-06,2020-04-21,121,121
122,94066,2023-07-26,2024-04-26,122,122
123,11125,2017-07-16,2021-05-04,123,123
124,141118,2016-08-14,2020-07-16,124,124
125,79308,2016-12-25,2020-09-28,125,125
126,57674,2020-10-16,2021-01-20,126,126
127,123911,2024-10-20,2025-02-26,127,127
128,135027,2024-02-12,2025-01-03,128,128
129,110896,2024-02-13,2024-11-14,129,129
130,14423,2022-02-24,2022-08-04,130,130
131,47152,2019-01-30,2019-11-17,131,131
132,104199,2022-02-25,2025-03-09,132,132
133,105999,2016-03-18,2017-06-15,133,133
134,85886,2016-03-07,2017-04-30,134,134
135,94736,2022-09-11,2023-08-27,135,135
136,2542,2023-11-29,2024-08-15,136,136
137,132046,2024-09-17,2025-01-06,137,137
138,23972,2020-04-23,2023-10-14,138,138
139,125766,2024-12-03,2025-01-25,139,139
140,63886,2022-03-30,2022-06-20,140,140
141,71105,2021-09-04,2023-10-30,141,141
142,53122,2018-11-20,2018-12-18,142,142
143,65823,2020-06-05,2022-05-06,143,143
144,84520,2021-10-10,2021-12-08,144,144
145,1469,2023-05-26,2023-07-31,145,145
146,42509,2016-07-15,2023-05-11,146,146
147,47370,2024-01-20,2024-10-06,147,147
148,55970,2019-01-24,2025-01-20,148,148
149,6861,2016-12-06,2018-05-12,149,149
150,97870,2021-05-09,2023-09-19,150,150
151,128859,2016-11-26,2023-03-24,151,151
152,11663,2024-01-28,2024-08-22,152,152
153,38444,2022-03-26,2024-04-04,153,153
154,118914,2023-07-16,2024-12-23,154,154
155,106223,2019-09-17,2021-02-04,155,155
156,107997,2020-11-29,2022-07-02,156,156
157,10134,2022-06-01,2024-03-29,157,157
158,24048,2018-07-18,2024-08-09,158,158
159,109727,2017-01-03,2017-07-15,159,159
160,50451,2016-02-22,2017-04-08,160,160
161,112390,2023-08-24,2024-04-06,161,161
162,85408,2017-03-23,2023-11-25,162,162
163,18545,2021-06-05,2022-07-11,163,163
164,142624,2021-07-07,2023-06-03,164,164
165,17072,2022-07-09,2022-12-30,165,165
166,148855,2020-04-10,2023-07-03,166,166
167,32464,2016-11-11,2025-01-02,167,167
168,55915,2018-09-15,2023-07-18,168,168
169,11581,2016-12-02,2020-09-05,169,169
170,31660,2020-03-17,2024-10-22,170,170
171,117680,2023-01-16,2024-04-08,171,171
172,5806,2017-04-20,2018-05-23,172,172
173,72707,2020-01-06,2022-01-04,173,173
174,56100,2019-09-01,2021-06-23,174,174
175,90083,2021-06-29,2022-05-02,175,175
176,69211,2017-09-13,2018-08-09,176,176
177,73567,2023-03-17,2024-01-23,177,177
178,13225,2017-03-02,2019-06-09,178,178
179,90109,2020-10-16,2023-07-20,179,179
180,22617,2020-04-29,2022-08-27,180,180
181,87818,2024-08-27,2024-11-09,181,181
182,110794,2023-05-27,2024-03-12,182,182
183,40002,2022-10-01,2023-03-20,183,183
184,75630,2017-06-23,2018-12-08,184,184
185,45851,2021-02-10,2021-03-15,185,185
186,123294,2022-01-23,2022-04-06,186,186
187,54450,2023-10-14,2024-09-12,187,187
188,114287,2021-06-01,2022-03-08,188,188
189,125172,2021-03-14,2023-10-21,189,189
190,78599,2024-02-04,2025-01-06,190,190
191,20774,2018-12-02,2019-07-08,191,191
192,122608,2019-02-01,2022-07-16,192,192
193,49945,2024-01-22,2025-03-02,193,193
194,33808,2024-11-16,2025-01-14,194,194
195,80521,2016-07-26,2020-10-12,195,195
196,109207,2018-12-12,2025-02-15,196,196
197,33883,2023-09-08,2023-09-28,197,197
198,131466,2017-10-25,2022-02-27,198,198
199,80589,2016-05-08,2017-05-02,199,199
200,140903,2022-06-30,2022-11-19,200,200
201,46548,2020-01-11,2025-01-27,201,201
202,19444,2016-11-07,2020-08-30,202,202
203,37118,2017-06-27,2020-11-22,203,203
204,25442,2017-02-05,2019-07-26,204,204
205,136691,2018-02-23,2024-12-05,205,205
206,15537,2025-01-23,2025-02-18,206,206
207,38293,2016-09-07,2023-12-07,207,207
208,61139,2021-03-03,2021-10-02,208,208
209,50129,2022-01-02,2024-08-03,209,209
210,142672,2020-07-15,2023-02-21,210,210
211,129939,2022-03-13,2022-08-22,211,211
212,29133,2019-10-17,2023-03-02,212,212
213,67737,2016-11-09,2019-09-16,213,213
214,132529,2018-10-14,2020-07-28,214,214
215,104363,2017-09-18,2022-08-12,215,215
216,13550,2022-12-07,2024-12-10,216,216
217,96698,2017-03-16,2024-02-26,217,217
218,139191,2023-08-04,2023-11-23,218,218
219,57017,2023-02-16,2023-08-26,219,219
220,36632,2020-01-13,2023-09-06,220,220
221,5185,2016-10-10,2023-11-17,221,221
222,96562,2024-10-31,2025-03-08,222,222
223,77445,2024-10-20,2025-03-02,223,223
224,97585,2022-11-29,2023-01-17,224,224
225,127321,2020-09-11,2021-09-07,225,225
226,145711,2020-06-16,2022-01-12,226,226
227,26834,2018-06-18,2022-08-05,227,227
228,128042,2017-10-17,2021-05-01,228,228
229,39562,2024-04-10,2024-07-17,229,229
230,148821,2018-12-28,2020-02-02,230,230
231,58548,2017-06-20,2021-03-21,231,231
232,84022,2024-09-29,2025-01-10,232,232
233,117216,2018-05-16,2020-09-11,233,233
234,110308,2016-10-24,2017-06-27,234,234
235,110752,2016-02-10,2019-02-22,235,235
236,82860,2017-12-25,2023-05-31,236,236
237,122903,2024-11-15,2024-11-20,237,237
238,116896,2019-10-23,2023-05-12,238,238
239,20669,2021-12-21,2023-11-27,239,239
240,45991,2016-08-28,2024-04-04,240,240
241,16615,2021-02-12,2023-12-20,241,241
242,71429,2021-05-12,2022-12-12,242,242
243,49424,2023-07-10,2023-10-21,243,243
244,6592,2024-11-09,2024-12-30,244,244
245,127105,2021-05-24,2022-11-20,245,245
246,22571,2016-12-10,2020-12-09,246,246
247,124606,2025-01-27,2025-02-27,247,247
248,107064,2019-11-07,2021-06-28,248,248
249,21458,2019-10-17,2021-04-07,249,249
250,86865,2018-12-13,2021-12-03,250,250
251,106962,2021-02-23,2021-06-06,251,251
252,38508,2016-12-15,2023-08-30,252,252
253,22485,2016-11-08,2016-12-25,253,253
254,628,2018-11-10,2024-03-08,254,254
255,28352,2016-04-16,2016-12-13,255,255
256,136718,2019-03-04,2020-01-20,256,256
257,57233,2022-06-23,2023-01-22,257,257
258,133089,2018-02-17,2019-10-26,258,258
259,30589,2023-03-26,2024-11-29,259,259
260,42139,2018-04-18,2021-07-11,260,260
261,44062,2016-10-28,2019-10-18,261,261
262,49782,2018-03-24,2022-05-27,262,262
263,123414,2022-08-11,2023-09-08,263,263
264,7891,2020-02-19,2021-08-05,264,264
265,90883,2018-10-04,2019-10-26,265,265
266,46860,2024-01-17,2024-03-12,266,266
267,17290,2021-07-17,2024-07-19,267,267
268,14260,2025-01-10,2025-02-24,268,268
269,114188,2019-12-31,2023-11-22,269,269
270,17163,2016-08-09,2019-11-29,270,270
271,115344,2022-09-04,2023-03-22,271,271
272,60791,2018-10-14,2024-05-15,272,272
273,121327,2020-12-24,2024-10-07,273,273
274,104754,2018-03-21,2024-08-06,274,274
275,88281,2018-10-07,2023-01-28,275,275
276,83843,2025-03-07,2025-03-07,276,276
277,13529,2021-04-23,2022-10-12,277,277
278,43515,2018-07-19,2024-12-31,278,278
279,78949,2020-09-04,2022-02-08,279,279
280,37243,2017-11-06,2019-03-26,280,280
281,105311,2020-02-20,2020-04-14,281,281
282,55299,2023-04-22,2024-02-03,282,282
283,117634,2018-08-09,2023-11-18,283,283
284,129666,2021-02-12,2024-05-19,284,284
285,3533,2024-04-29,2024-10-21,285,285
286,90612,2021-10-16,2023-05-01,286,286
287,21339,2020-10-05,2024-01-04,287,287
288,69455,2019-12-03,2023-02-17,288,288
289,86446,2016-11-30,2019-09-27,289,289
290,50707,2022-01-31,2023-12-26,290,290
291,124050,2017-08-31,2019-02-15,291,291
292,149394,2016-03-03,2020-01-02,292,292
293,89268,2023-10-18,2024-12-14,293,293
294,43998,2018-01-25,2023-05-04,294,294
295,119838,2016-02-17,2018-04-22,295,295
296,10436,2022-03-21,2023-05-06,296,296
297,108681,2017-12-21,2023-10-07,297,297
298,79653,2018-11-20,2022-04-09,298,298
299,69347,2018-01-13,2022-03-17,299,299
300,45384,2017-01-08,2019-09-04,300,300
301,31813,2020-05-01,2024-11-26,301,301
302,34993,2024-12-25,2025-02-23,302,302
303,127617,2023-03-21,2024-04-04,303,303
304,35474,2020-07-23,2023-03-15,304,304
305,53151,2022-11-06,2024-08-30,305,305
306,4820,2019-09-12,2019-12-18,306,306
307,36859,2021-07-20,2024-09-22,307,307
308,144579,2016-12-29,2020-11-16,308,308
309,39981,2016-01-09,2019-09-19,309,309
310,89665,2022-05-25,2023-11-24,310,310
311,4691,2019-05-01,2024-07-01,311,311
312,124503,2023-01-13,2024-12-31,312,312
313,103826,2016-09-19,2024-03-02,313,313
314,21224,2020-01-06,2020-01-31,314,314
315,1884,2016-07-07,2016-11-26,315,315
316,85382,2020-12-29,2022-02-22,316,316
317,32624,2019-08-29,2020-12-22,317,317
318,32453,2018-07-26,2019-12-13,318,318
319,36420,2018-11-28,2024-09-25,319,319
320,41935,2019-11-05,2023-03-21,320,320
321,120996,2016-04-25,2024-09-09,321,321
322,14067,2018-03-19,2019-01-11,322,322
323,110725,2021-12-06,2023-03-28,323,323
324,95088,2023-11-23,2023-12-05,324,324
325,124958,2018-01-21,2022-12-14,325,325
326,71806,2019-02-01,2019-02-01,326,326
327,128551,2017-09-11,2019-11-12,327,327
328,77180,2023-06-11,2023-12-03,328,328
329,56172,2017-10-08,2024-01-12,329,329
330,64695,2021-08-08,2022-08-04,330,330
331,6499,2022-09-09,2024-12-15,331,331
332,105466,2019-04-12,2023-01-11,332,332
333,32804,2018-08-15,2023-12-08,333,333
334,68703,2022-04-27,2023-12-06,334,334
335,54354,2016-04-02,2017-06-29,335,335
336,41031,2024-02-25,2024-12-12,336,336
337,45178,2018-10-26,2020-10-12,337,337
338,97265,2024-02-25,2025-02-08,338,338
339,46871,2017-07-23,2022-10-09,339,339
340,138956,2022-12-21,2024-11-20,340,340
341,22210,2016-06-08,2020-04-24,341,341
342,28724,2018-12-18,2021-02-13,342,342
343,127053,2024-01-23,2024-05-20,343,343
344,76788,2022-09-07,2024-08-06,344,344
345,35336,2020-09-05,2023-03-15,345,345
346,25207,2019-12-05,2024-12-18,346,346
347,66154,2021-01-25,2022-02-24,347,347
348,123281,2018-07-27,2023-12-28,348,348
349,72949,2019-07-28,2024-02-26,349,349
350,7619,2022-08-31,2024-02-12,350,350
351,100734,2017-12-27,2022-07-30,351,351
352,59656,2017-01-03,2019-04-10,352,352
353,122599,2016-01-22,2017-03-06,353,353
354,110924,2020-03-02,2022-01-25,354,354
355,58877,2020-04-18,2022-09-21,355,355
356,67248,2020-12-04,2022-10-17,356,356
357,18392,2017-10-07,2024-10-01,357,357
358,32188,2024-02-18,2024-05-07,358,358
359,40314,2020-09-16,2022-11-25,359,359
360,78045,2019-10-07,2023-09-22,360,360
361,149105,2019-07-30,2022-01-13,361,361
362,11136,2019-05-07,2019-11-27,362,362
363,93549,2021-01-19,2024-08-16,363,363
364,75130,2022-11-03,2023-08-30,364,364
365,107186,2019-10-26,2024-02-17,365,365
366,76289,2016-04-13,2016-09-16,366,366
367,111805,2020-04-30,2024-08-30,367,367
368,24953,2018-01-31,2019-07-02,368,368
369,49519,2017-12-01,2024-01-14,369,369
370,52071,2019-10-05,2024-02-12,370,370
371,98874,2017-08-18,2021-01-14,371,371
372,107068,2022-05-22,2024-11-02,372,372
373,23681,2019-10-23,2021-04-11,373,373
374,109688,2021-03-29,2024-06-03,374,374
375,50537,2016-07-03,2023-09-19,375,375
376,29328,2024-03-12,2024-08-29,376,376
377,11955,2022-11-29,2025-01-12,377,377
378,148874,2020-11-15,2020-12-11,378,378
379,89813,2024-05-02,2024-08-17,379,379
380,61693,2020-08-17,2023-11-25,380,380
381,32820,2018-05-11,2020-12-15,381,381
382,119490,2020-03-24,2023-04-24,382,382
383,96635,2017-03-16,2024-07-04,383,383
384,89331,2021-11-21,2021-11-30,384,384
385,133897,2018-04-26,2024-10-01,385,385
386,24963,2018-01-24,2019-03-21,386,386
387,49954,2016-07-19,2017-04-22,387,387
388,109306,2022-09-27,2024-04-18,388,388
389,27307,2022-07-19,2022-10-30,389,389
390,80903,2023-11-01,2024-10-13,390,390
391,61441,2017-02-04,2018-02-22,391,391
392,148077,2018-02-05,2018-10-08,392,392
393,84031,2024-07-05,2024-11-26,393,393
394,148145,2016-01-19,2016-11-19,394,394
395,124529,2019-04-01,2022-01-26,395,395
396,98450,2017-06-27,2022-02-03,396,396
397,83725,2016-02-20,2017-11-05,397,397
398,14615,2019-02-26,2022-07-31,398,398
399,18162,2022-04-20,2022-06-18,399,399
400,64385,2019-12-22,2024-01-24,400,400
401,47823,2019-01-11,2024-04-22,401,401
402,96387,2018-07-06,2022-10-06,402,402
403,140197,2022-01-18,2024-12-27,403,403
404,128193,2018-11-04,2020-09-18,404,404
405,57308,2017-09-14,2020-10-06,405,405
406,70714,2023-10-31,2024-01-21,406,406
407,96757,2017-08-02,2018-03-05,407,407
408,120242,2019-05-25,2025-01-31,408,408
409,149538,2024-12-20,2024-12-20,409,409
410,65210,2020-02-03,2021-06-27,410,410
411,91056,2018-06-07,2022-05-26,411,411
412,66716,2021-08-28,2024-07-15,412,412
413,45855,2021-11-23,2022-05-11,413,413
414,111513,2021-04-21,2023-12-14,414,414
415,12031,2022-05-08,2024-08-14,415,415
416,143986,2019-01-22,2020-07-20,416,416
417,1757,2020-11-29,2022-06-29,417,417
418,770,2022-06-11,2024-11-01,418,418
419,12455,2024-07-14,2025-02-03,419,419
420,113700,2017-11-26,2020-01-03,420,420
421,30110,2016-12-01,2017-09-27,421,421
422,136352,2021-12-06,2023-05-16,422,422
423,120046,2018-08-09,2018-10-14,423,423
424,67919,2018-05-17,2021-10-26,424,424
425,131388,2019-10-10,2021-03-20,425,425
426,48293,2024-06-22,2024-12-25,426,426
427,130701,2016-01-14,2018-12-01,427,427
428,7494,2023-04-05,2024-07-28,428,428
429,119777,2018-04-02,2019-02-12,429,429
430,111948,2016-12-03,2024-04-12,430,430
431,109408,2019-11-11,2023-02-20,431,431
432,130327,2018-03-05,2021-05-27,432,432
433,127045,2017-09-04,2018-08-26,433,433
434,60253,2018-08-15,2023-12-28,434,434
435,116603,2017-08-29,2021-01-20,435,435
436,119699,2021-10-28,2024-04-05,436,436
437,74148,2024-12-22,2025-01-17,437,437
438,37847,2024-11-23,2024-12-23,438,438
439,117450,2022-12-19,2023-08-20,439,439
440,75620,2019-08-20,2024-01-08,440,440
441,116653,2020-02-14,2024-02-13,441,441
442,66178,2018-03-29,2024-07-25,442,442
443,85939,2019-06-15,2022-03-05,443,443
444,32372,2019-05-23,2020-03-24,444,444
445,27297,2022-12-29,2024-10-12,445,445
446,11072,2024-06-05,2024-08-14,446,446
447,37625,2024-01-09,2024-07-19,447,447
448,43485,2020-01-07,2020-08-25,448,448
449,103397,2023-04-09,2025-01-26,449,449
450,66972,2023-01-03,2025-01-17,450,450
451,38082,2021-05-03,2023-05-07,451,451
452,125396,2024-02-07,2024-08-05,452,452
453,51513,2022-05-06,2025-01-20,453,453
454,95333,2016-06-07,2017-09-13,454,454
455,95162,2022-11-01,2023-01-17,455,455
456,10148,2024-06-02,2024-06-02,456,456
457,141166,2016-05-29,2017-05-03,457,457
458,100653,2019-10-31,2024-09-22,458,458
459,136147,2018-05-24,2022-04-23,459,459
460,76716,2020-11-03,2023-09-13,460,460
461,126531,2022-07-17,2024-11-11,461,461
462,45014,2023-08-19,2024-07-15,462,462
463,2735,2017-02-08,2020-04-03,463,463
464,61800,2016-04-10,2017-10-31,464,464
465,68446,2016-07-17,2019-08-27,465,465
466,138678,2024-01-07,2024-02-12,466,466
467,125713,2016-03-08,2025-01-23,467,467
468,106773,2021-05-09,2021-09-22,468,468
469,26730,2018-05-06,2019-02-03,469,469
470,141935,2023-08-15,2024-08-27,470,470
471,62938,2025-01-18,2025-02-20,471,471
472,92447,2017-12-01,2018-07-20,472,472
473,114185,2021-02-04,2022-07-16,473,473
474,14192,2020-03-18,2022-02-19,474,474
475,138140,2016-09-02,2020-01-14,475,475
476,144227,2022-09-22,2022-10-14,476,476
477,59342,2020-10-02,2022-06-12,477,477
478,124349,2021-08-26,2021-11-15,478,478
479,121835,2023-01-30,2024-02-06,479,479
480,110945,2020-01-12,2021-03-04,480,480
481,108949,2023-12-12,2024-10-06,481,481
482,78371,2024-09-09,2024-11-05,482,482
483,12373,2022-03-31,2024-03-02,483,483
484,73599,2018-06-23,2020-03-06,484,484
485,111188,2019-10-06,2023-05-13,485,485
486,103603,2023-03-25,2023-05-24,486,486
487,78655,2017-03-29,2017-09-24,487,487
488,63034,2024-07-20,2024-09-21,488,488
489,134051,2020-11-24,2024-12-03,489,489
490,29576,2018-12-21,2024-12-16,490,490
491,24912,2016-09-07,2021-03-03,491,491
492,57519,2023-12-20,2024-04-12,492,492
493,24367,2016-09-07,2018-01-19,493,493
494,128604,2020-11-08,2024-06-02,494,494
495,93144,2016-12-12,2019-09-05,495,495
496,52012,2020-05-19,2024-07-28,496,496
497,50072,2020-04-04,2020-07-23,497,497
498,130025,2023-02-26,2024-01-25,498,498
499,33699,2018-12-19,2022-08-10,499,499
500,103144,2019-07-05,2024-01-21,500,500
501,36841,2023-06-17,2023-06-18,501,501
502,113483,2024-06-22,2024-11-12,502,502
503,68452,2020-06-29,2022-04-16,503,503
504,115819,2016-01-25,2016-02-24,504,504
505,117059,2021-12-19,2023-04-18,505,505
506,80455,2019-11-28,2023-11-01,506,506
507,36485,2020-10-05,2023-11-06,507,507
508,30595,2017-03-28,2019-02-27,508,508
509,68603,2016-03-12,2020-04-03,509,509
510,79660,2019-06-02,2022-06-03,510,510
511,11684,2017-12-18,2023-08-09,511,511
512,121367,2020-01-22,2023-04-16,512,512
513,4570,2017-06-06,2018-12-13,513,513
514,66283,2017-10-23,2020-08-14,514,514
515,126572,2017-01-28,2018-12-29,515,515
516,72963,2022-11-15,2024-06-30,516,516
517,121531,2018-09-21,2022-10-01,517,517
518,90659,2021-03-29,2023-03-21,518,518
519,50666,2019-03-26,2022-12-13,519,519
520,62019,2019-11-16,2021-07-26,520,520
521,110134,2020-01-29,2020-02-09,521,521
522,63662,2018-05-30,2022-05-02,522,522
523,93690,2021-03-11,2022-11-09,523,523
524,72395,2022-11-08,2024-04-18,524,524
525,105928,2017-07-01,2025-01-27,525,525
526,132704,2022-01-02,2024-04-15,526,526
527,46922,2021-04-13,2022-11-30,527,527
528,66301,2023-04-16,2023-06-04,528,528
529,18357,2018-03-26,2023-12-07,529,529
530,13711,2018-04-05,2022-08-08,530,530
531,70754,2021-07-12,2023-02-20,531,531
532,134555,2017-07-06,2019-12-02,532,532
533,121731,2024-04-18,2024-06-23,533,533
534,16134,2023-09-25,2024-02-14,534,534
535,35259,2016-02-20,2019-12-11,535,535
536,139967,2018-11-02,2021-02-03,536,536
537,11988,2022-02-23,2024-07-16,537,537
538,35822,2021-05-16,2023-06-09,538,538
539,135112,2017-01-29,2024-11-14,539,539
540,113641,2016-10-18,2024-04-17,540,540
541,78885,2016-03-12,2018-12-06,541,541
542,68118,2019-01-28,2021-02-05,542,542
543,90081,2019-01-07,2024-09-12,543,543
544,15129,2019-02-06,2020-01-03,544,544
545,147154,2020-01-12,2025-03-07,545,545
546,12179,2016-03-20,2022-07-05,546,546
547,16101,2021-06-22,2024-07-16,547,547
548,139949,2025-02-07,2025-02-27,548,548
549,23129,2016-01-02,2022-12-17,549,549
550,128988,2017-01-31,2021-08-10,550,550
551,50330,2017-02-07,2017-12-23,551,551
552,44773,2017-03-25,2020-03-29,552,552
553,45065,2018-07-08,2019-07-25,553,553
554,99935,2022-07-05,2024-10-27,554,554
555,42519,2022-04-17,2023-09-24,555,555
556,146583,2019-07-18,2024-01-20,556,556
557,4359,2024-10-31,2025-01-07,557,557
558,3600,2016-02-09,2021-04-18,558,558
559,104326,2019-10-13,2023-11-02,559,559
560,37637,2023-10-25,2024-02-06,560,560
561,131937,2023-06-14,2024-07-13,561,561
562,47682,2021-07-14,2022-07-28,562,562
563,140828,2016-04-30,2019-07-08,563,563
564,77814,2021-03-03,2024-01-29,564,564
565,70728,2018-06-25,2024-05-05,565,565
566,18358,2019-03-12,2022-06-18,566,566
567,74608,2023-04-06,2023-12-16,567,567
568,109819,2022-12-23,2023-10-01,568,568
569,75504,2023-05-26,2024-11-13,569,569
570,82645,2022-02-05,2022-08-27,570,570
571,6913,2021-09-28,2023-11-17,571,571
572,94836,2022-10-03,2023-08-07,572,572
573,69447,2023-07-21,2024-07-25,573,573
574,20674,2017-07-02,2018-06-12,574,574
575,2559,2020-09-25,2021-09-09,575,575
576,145186,2020-11-28,2021-10-09,576,576
577,122922,2019-11-20,2021-09-20,577,577
578,37977,2017-12-29,2019-04-16,578,578
579,123012,2016-09-20,2019-11-22,579,579
580,3063,2024-01-11,2024-01-20,580,580
581,60812,2016-01-01,2022-09-22,581,581
582,67404,2017-02-01,2024-04-21,582,582
583,6542,2021-12-23,2023-04-06,583,583
584,312,2019-04-18,2020-12-01,584,584
585,69202,2019-09-08,2023-04-07,585,585
586,108494,2024-04-04,2024-12-08,586,586
587,74782,2020-12-11,2023-03-20,587,587
588,110262,2023-04-28,2023-07-15,588,588
589,128666,2016-08-04,2019-12-01,589,589
590,69773,2021-01-23,2022-05-11,590,590
591,17118,2023-07-13,2024-02-17,591,591
592,1858,2021-08-06,2021-12-03,592,592
593,110341,2019-06-11,2022-04-06,593,593
594,23841,2023-05-25,2023-06-11,594,594
595,139659,2018-01-23,2024-09-17,595,595
596,75928,2020-10-20,2022-02-01,596,596
597,5071,2023-01-19,2023-03-31,597,597
598,52760,2024-10-17,2025-01-13,598,598
599,25141,2019-01-03,2022-10-17,599,599
600,148052,2020-01-14,2020-07-28,600,600
601,69943,2019-10-31,2023-08-23,601,601
602,109383,2020-07-09,2023-01-26,602,602
603,75189,2018-09-02,2021-05-19,603,603
604,37448,2022-11-25,2024-08-23,604,604
